ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,ScoreOfReliability,VotingScore,Status
10006,1000049, 1,1116,918,0.548673,0.451327,0.548673,1,merged
10006,1000049, 2,1117,918,0.548894,0.451106,1.097567,1,merged
10006,1000049, 3,1118,918,0.549116,0.450884,1.646683,1,merged
10013,1000049, 1,1118,919,0.548846,0.451154,0.548846,1,merged
10013,1000063, 2, 67,  4,0.943662,0.056338,1.492508,-1,merged
10013,1000049, 3,1119,919,0.549068,0.450932,2.041576,1,merged
10016,1000049, 1,1119,920,0.548798,0.451202,0.548798,1,merged
10016,1000049, 2,1120,920,0.549020,0.450980,1.097818,1,merged
10016,1000155, 3,  7,  6,0.538462,0.461538,1.636280,-1,merged
10025,1000049, 1,1120,921,0.548751,0.451249,0.548751,1,merged
10025,1000027, 2,  7,  3,0.700000,0.300000,1.248751,-1,merged
10025,1000049, 3,1121,921,0.548972,0.451028,1.797722,1,merged
10062,1000049, 1,1121,922,0.548703,0.451297,0.548703,1,merged
10062,1000254, 2,  1,  0,1.000000,0.000000,1.548703,-1,merged
10062,1000049, 3,1122,922,0.548924,0.451076,2.097627,1,merged
10064,1000049, 1,1123,922,0.549144,0.450856,0.549144,1,merged
10064,1000120, 2,  1,  1,0.500000,0.500000,1.049144,1,merged
10064,1000049, 3,1124,922,0.549365,0.450635,1.598509,1,merged
10070,1000049, 1,1125,922,0.549585,0.450415,0.549585,1,merged
10070,1000113, 2,  1,  1,0.500000,0.500000,1.049585,1,merged
10070,1000175, 3,  4,  1,0.800000,0.200000,1.849585,1,merged
10097,1000049, 1,1125,923,0.549316,0.450684,0.549316,1,merged
10097,1000049, 2,1125,924,0.549048,0.450952,1.098365,1,merged
10097,1000049, 3,1126,924,0.549268,0.450732,1.647633,1,merged
10105,1000049, 1,1126,925,0.549000,0.451000,0.549000,1,merged
10105,1000049, 2,1126,926,0.548733,0.451267,1.097733,1,merged
10105,1000049, 3,1127,926,0.548953,0.451047,1.646686,1,merged
10123,1000049, 1,1127,927,0.548685,0.451315,0.548685,1,merged
10123,1000049, 2,1127,928,0.548418,0.451582,1.097104,1,merged
10123,1000049, 3,1128,928,0.548638,0.451362,1.645742,1,merged
10139,1000049, 1,1128,929,0.548371,0.451629,0.548371,1,abandoned
10139,1000049, 2,1128,930,0.548105,0.451895,1.096476,1,abandoned
10139,1000049, 3,1128,931,0.547839,0.452161,1.644315,1,abandoned
10143,1000049, 1,1129,931,0.548058,0.451942,0.548058,1,merged
10143,1000217, 2,  1,  0,1.000000,0.000000,1.548058,1,merged
10143,1000049, 3,1130,931,0.548278,0.451722,2.096336,1,merged
10152,1000049, 1,1131,931,0.548497,0.451503,0.548497,1,merged
10152,1000004, 2, 14,  4,0.777778,0.222222,1.326274,-1,merged
10152,1000049, 3,1132,931,0.548715,0.451285,1.874990,1,merged
10154,1000049, 1,1133,931,0.548934,0.451066,0.548934,1,merged
10154,1000329, 2,  9,  6,0.600000,0.400000,1.148934,-1,merged
10154,1000049, 3,1134,931,0.549153,0.450847,1.698087,1,merged
10155,1000049, 1,1134,932,0.548887,0.451113,0.548887,1,merged
10155,1000049, 2,1134,933,0.548621,0.451379,1.097508,1,merged
10155,1000049, 3,1135,933,0.548839,0.451161,1.646347,1,merged
10159,1000049, 1,1135,934,0.548574,0.451426,0.548574,-1,merged
10159,1000383, 2,  1,  0,1.000000,0.000000,1.548574,1,merged
10159,1000015, 3, 16,  3,0.842105,0.157895,2.390679,1,merged
10172,1000049, 1,1135,935,0.548309,0.451691,0.548309,1,merged
10172,1000049, 2,1135,936,0.548044,0.451956,1.096354,1,merged
10172,1000049, 3,1136,936,0.548263,0.451737,1.644616,1,merged
10187,1000049, 1,1136,937,0.547998,0.452002,0.547998,1,merged
10187,1000049, 2,1136,938,0.547734,0.452266,1.095732,1,merged
10187,1000049, 3,1137,938,0.547952,0.452048,1.643684,1,merged
10225,1000049, 1,1137,939,0.547688,0.452312,0.547688,1,merged
10225,1000049, 2,1137,940,0.547424,0.452576,1.095112,1,merged
10225,1000049, 3,1138,940,0.547642,0.452358,1.642754,1,merged
10232,1000049, 1,1139,940,0.547860,0.452140,0.547860,1,merged
10232,1000049, 2,1140,940,0.548077,0.451923,1.095936,1,merged
10232,1000004, 3, 15,  4,0.789474,0.210526,1.885410,1,merged
