ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,ScoreOfReliability,VotingScore,Status
10001,3, 1,10963,3699,0.747715,0.252285,0.747715,1,abandoned
10001,2166, 2,555,782,0.415108,0.584892,1.162824,1,abandoned
10020,3, 1,11005,3734,0.746659,0.253341,0.746659,1,merged
10020,3, 2,11006,3734,0.746676,0.253324,1.493334,1,merged
10021,3, 1,11007,3734,0.746693,0.253307,0.746693,1,merged
10021,3, 2,11008,3734,0.746710,0.253290,1.493403,1,merged
10025,3, 1,11012,3736,0.746678,0.253322,0.746678,1,abandoned
10025,2166, 2,560,784,0.416667,0.583333,1.163344,1,abandoned
10031,3, 1,11021,3744,0.746427,0.253573,0.746427,1,abandoned
10031,330, 2, 45,  6,0.882353,0.117647,1.628780,-1,abandoned
10084,3, 1,11149,3817,0.744955,0.255045,0.744955,1,merged
10084,3, 2,11150,3817,0.744972,0.255028,1.489928,1,merged
10098,3, 1,11179,3839,0.744373,0.255627,0.744373,1,merged
10098,3, 2,11180,3839,0.744390,0.255610,1.488764,1,merged
10107,3, 1,11195,3845,0.744348,0.255652,0.744348,1,merged
10107,3, 2,11196,3845,0.744365,0.255635,1.488714,1,merged
10113,3, 1,11205,3849,0.744320,0.255680,0.744320,1,merged
10113,3, 2,11206,3849,0.744337,0.255663,1.488658,1,merged
10114,3, 1,11207,3849,0.744354,0.255646,0.744354,1,merged
10114,3, 2,11208,3849,0.744371,0.255629,1.488726,1,merged
10115,3, 1,11209,3849,0.744388,0.255612,0.744388,1,merged
10115,3, 2,11210,3849,0.744405,0.255595,1.488794,1,merged
10120,3, 1,11231,3862,0.744120,0.255880,0.744120,1,abandoned
10120,308, 2, 35, 13,0.729167,0.270833,1.473286,-1,abandoned
10124,3, 1,11239,3868,0.743960,0.256040,0.743960,-1,abandoned
10124,177, 2, 63, 30,0.677419,0.322581,1.421379,-1,abandoned
10139,3, 1,11271,3877,0.744059,0.255941,0.744059,1,merged
10139,3, 2,11272,3877,0.744076,0.255924,1.488134,1,merged
10188,3, 1,11382,3977,0.741064,0.258936,0.741064,-1,abandoned
10188,2166, 2,599,812,0.424522,0.575478,1.165585,1,abandoned
10198,3, 1,11399,3992,0.740628,0.259372,0.740628,1,abandoned
10198,2166, 2,599,813,0.424221,0.575779,1.164849,1,abandoned
10216,3, 1,11433,4019,0.739904,0.260096,0.739904,-1,abandoned
10216,2284, 2, 61, 12,0.835616,0.164384,1.575521,1,abandoned
10217,4463, 1,  3,  0,1.000000,0.000000,1.000000,1,merged
10217,3, 2,11434,4019,0.739921,0.260079,1.739921,1,merged
10225,3, 1,11444,4032,0.739468,0.260532,0.739468,1,abandoned
10225,3, 2,11444,4033,0.739420,0.260580,1.478887,1,abandoned
10226,3, 1,11444,4034,0.739372,0.260628,0.739372,1,abandoned
10226,3, 2,11444,4035,0.739324,0.260676,1.478696,1,abandoned
10230,3, 1,11449,4040,0.739170,0.260830,0.739170,-1,abandoned
10230,3, 2,11449,4041,0.739122,0.260878,1.478292,1,abandoned
10243,3, 1,11493,4069,0.738530,0.261470,0.738530,-1,abandoned
10243,3, 2,11493,4070,0.738482,0.261518,1.477012,1,abandoned
10255,3, 1,11528,4080,0.738596,0.261404,0.738596,1,merged
10255,3, 2,11529,4080,0.738612,0.261388,1.477208,1,merged
10259,3, 1,11537,4091,0.738226,0.261774,0.738226,-1,abandoned
10259,2455, 2, 55, 24,0.696203,0.303797,1.434429,-1,abandoned
10277,3, 1,11568,4127,0.737050,0.262950,0.737050,1,merged
10277,3, 2,11569,4127,0.737067,0.262933,1.474117,1,merged
10278,3, 1,11570,4127,0.737084,0.262916,0.737084,1,merged
10278,3, 2,11571,4127,0.737100,0.262900,1.474184,1,merged
10279,3, 1,11572,4127,0.737117,0.262883,0.737117,1,merged
10279,3, 2,11573,4127,0.737134,0.262866,1.474251,1,merged
10280,3, 1,11574,4127,0.737150,0.262850,0.737150,1,merged
10280,3, 2,11575,4127,0.737167,0.262833,1.474318,1,merged
10302,3, 1,11614,4147,0.736882,0.263118,0.736882,1,merged
10302,3, 2,11615,4147,0.736899,0.263101,1.473781,1,merged
10304,3, 1,11619,4148,0.736919,0.263081,0.736919,1,merged
10304,3, 2,11620,4148,0.736936,0.263064,1.473854,1,merged
10359,3, 1,11755,4265,0.733770,0.266230,0.733770,-1,abandoned
10359,3, 2,11755,4266,0.733724,0.266276,1.467495,1,abandoned
10360,3, 1,11755,4267,0.733679,0.266321,0.733679,1,abandoned
10360,2166, 2,635,858,0.425318,0.574682,1.158997,1,abandoned
10366,3, 1,11769,4276,0.733500,0.266500,0.733500,1,merged
10366,3, 2,11770,4276,0.733516,0.266484,1.467016,1,merged
10371,3, 1,11778,4281,0.733421,0.266579,0.733421,1,merged
10371,3, 2,11779,4281,0.733437,0.266563,1.466858,1,merged
10390,3, 1,11817,4300,0.733201,0.266799,0.733201,1,merged
10390,3, 2,11818,4300,0.733218,0.266782,1.466418,1,merged
10412,3, 1,11863,4332,0.732510,0.267490,0.732510,1,merged
10412,3, 2,11864,4332,0.732527,0.267473,1.465037,1,merged
10416,3, 1,11869,4336,0.732428,0.267572,0.732428,1,merged
10416,3, 2,11870,4336,0.732445,0.267555,1.464873,1,merged
10427,3, 1,11903,4349,0.732402,0.267598,0.732402,1,merged
10427,3, 2,11904,4349,0.732419,0.267581,1.464821,1,merged
10436,3, 1,11939,4370,0.732050,0.267950,0.732050,1,merged
10436,3, 2,11940,4370,0.732066,0.267934,1.464116,1,merged
10450,3, 1,11969,4395,0.731423,0.268577,0.731423,1,abandoned
10450,2759, 2, 18, 19,0.486486,0.513514,1.217909,-1,abandoned
10462,3, 1,11992,4414,0.730952,0.269048,0.730952,1,merged
10462,3, 2,11993,4414,0.730968,0.269032,1.461921,1,merged
10474,2697, 1, 10,  4,0.714286,0.285714,0.714286,1,merged
10474,3, 2,12019,4442,0.730150,0.269850,1.444436,1,merged
10478,3, 1,12025,4451,0.729849,0.270151,0.729849,1,abandoned
10478,2166, 2,677,887,0.432864,0.567136,1.162714,1,abandoned
10493,3, 1,12047,4478,0.729017,0.270983,0.729017,1,abandoned
10493,3, 2,12047,4479,0.728973,0.271027,1.457989,1,abandoned
10505,1007, 1,  2,  3,0.400000,0.600000,0.400000,1,merged
10505,3, 2,12076,4490,0.728963,0.271037,1.128963,1,merged
10592,3, 1,12272,4637,0.725767,0.274233,0.725767,1,abandoned
10592,782, 2, 22, 15,0.594595,0.405405,1.320362,-1,abandoned
10600,3, 1,12297,4652,0.725530,0.274470,0.725530,1,merged
10600,3, 2,12298,4652,0.725546,0.274454,1.451075,1,merged
10605,782, 1, 23, 15,0.605263,0.394737,0.605263,1,merged
10605,3, 2,12304,4655,0.725514,0.274486,1.330778,1,merged
10608,3, 1,12308,4660,0.725365,0.274635,0.725365,1,abandoned
10608,2166, 2,729,926,0.440483,0.559517,1.165849,1,abandoned
