id,joinNum
1000004,3795
1000329,3055
1000014,2935
1000015,2766
1000121,2743
1000120,2407
1000023,2141
1000009,2059
1000063,1859
1000007,1731
1000005,1337
1000070,1332
1000153,1330
1000054,1305
1000003,1198
1000011,1015
1000012,1003
1000328,997
1000130,957
1000132,922
1000105,873
1000592,835
1000110,741
1000118,739
1000109,723
1000026,712
1000043,697
1000091,637
1000327,615
1000108,610
1000166,605
1000140,591
1000199,577
1002169,572
1000124,566
1000534,562
1000019,553
1000016,550
1000037,525
1000036,524
1000017,515
1001454,513
1000100,510
1000661,508
1000312,504
1000101,492
1000061,492
1000155,488
1000128,464
1000119,463
1000013,454
1000098,450
1000173,447
1000334,432
1000971,429
1000216,424
1000548,414
1000032,404
1000127,397
1002272,396
1000123,394
1000116,392
1000093,370
1000959,369
1000171,368
1000096,368
1000762,359
1000029,359
1000203,358
1000133,349
1000129,345
1000085,345
1000338,337
1000738,335
1000077,333
1000010,333
1000413,330
1000039,325
1000020,325
1000942,323
1000869,323
1000045,323
1002167,318
1000912,316
1000064,299
1000030,287
1000008,279
1000410,273
1000053,270
1001032,269
1000046,263
1002006,260
1000193,256
1000331,254
1000065,244
1000565,241
1000245,237
1000097,233
1000143,230
1000024,230
1000185,212
1000681,210
1000167,210
1001984,199
1000307,196
1001288,195
1000822,195
1000075,194
1000530,193
1000084,193
1000833,191
1000298,191
1000131,189
1000071,189
1000934,187
1000264,184
1000147,184
1001967,181
1000146,181
1000083,181
1000055,181
1002377,180
1001380,174
1000448,171
1000194,171
1000186,166
1000027,165
1000052,152
1000018,148
1000006,147
1000066,145
1000041,140
1000177,139
1001775,138
1002263,136
1000831,135
1000057,135
1000136,134
1001190,126
1001982,125
1001419,125
1000111,125
1000181,124
1000566,123
1001143,121
1000230,120
1000708,119
1000175,116
1000238,114
1000090,113
1000856,112
1000270,110
1000092,107
1000074,107
1000068,107
1002219,106
1002113,105
1000785,105
1000040,105
1001382,102
1000104,101
1000174,98
1002116,97
1002093,92
1000870,90
1000251,87
1000078,86
1000198,85
1000577,84
1000254,82
1002749,80
1000183,79
1000382,78
1000464,77
1000113,77
1002232,74
1001132,72
1002031,70
1000391,70
1000126,69
1000240,68
1000184,67
1000035,67
1002176,64
1000528,63
1001133,62
1000248,62
1000256,57
1000351,56
1000843,55
1000359,55
1000232,55
1000144,55
1000835,54
1000255,54
1002184,53
1002150,51
1001931,51
1000286,51
1001572,50
1000179,50
1000220,49
1000169,48
1000578,47
1000250,46
1000087,46
1000540,45
1002694,44
1001857,44
1002160,43
1001069,43
1000503,43
1002600,42
1000810,42
1002282,41
1002122,41
1002289,40
1001895,40
1000172,40
1000094,40
1000138,39
1000402,38
1000028,38
1002135,37
1000590,37
1000219,37
1002128,36
1000260,36
1001949,35
1000207,35
1000299,34
1000274,34
1000228,34
1000213,34
1002657,33
1001141,33
1000341,33
1000073,33
1001005,32
1000935,32
1000901,32
1001682,31
1001211,30
1000516,30
1000163,30
1001053,29
1002321,28
1001953,28
1000239,28
1000033,28
1002472,27
1002125,27
1001079,27
1000050,27
1002192,26
1001697,26
1000505,26
1000263,26
1002536,25
1000818,24
1000610,24
1000095,24
1000082,24
1002180,23
1001975,23
1001187,23
1000478,23
1000324,23
1000135,23
1001846,22
1001352,22
1000765,22
1000604,22
1000481,22
1002152,21
1001994,21
1000259,21
1000235,21
1000079,21
1000034,21
1002065,20
1000881,20
1000744,20
1000271,20
1001623,19
1001377,19
1000866,19
1000809,19
1001796,18
1000844,18
1000532,18
1000455,18
1002054,17
1001611,17
1000205,17
1001026,16
1000573,16
1000340,16
1000217,16
1000125,16
1000354,15
1000229,15
1002140,14
1002117,14
1001616,14
1001195,14
1001156,14
1000748,14
1000392,14
1000823,13
1000525,13
1000405,13
1000233,13
1002137,12
1002068,12
1000972,12
1000666,12
1000242,12
1000241,12
1000190,12
1000112,12
1000152,11
1000141,11
1000122,11
1000076,11
1000025,11
1000022,11
1001001,10
1000973,10
1000750,10
1000635,10
1000350,10
1000160,10
1002433,9
1001740,9
1001198,9
1001065,9
1000319,9
1000164,9
1002196,8
1002148,8
1001612,8
1001387,8
1001246,8
1001203,8
1001100,8
1001039,8
1000936,8
1002464,7
1002416,7
1002279,7
1001836,7
1001768,7
1001549,7
1001248,7
1001006,7
1000739,7
1000645,7
1000356,7
1000044,7
1002853,6
1002848,6
1002374,6
1002359,6
1002320,6
1002268,6
1002223,6
1002144,6
1002012,6
1001554,6
1001186,6
1001163,6
1001080,6
1001035,6
1000608,6
1000431,6
1000318,6
1000189,6
1002932,5
1002641,5
1002142,5
1002097,5
1002000,5
1001973,5
1001746,5
1001392,5
1000669,5
1000558,5
1000496,5
1000472,5
1000323,5
1000231,5
1000212,5
1000176,5
1000161,5
1000150,5
1000106,5
1002360,4
1002197,4
1002161,4
1002051,4
1002042,4
1002040,4
1001966,4
1001911,4
1001892,4
1001764,4
1001656,4
1001604,4
1001409,4
1001277,4
1001058,4
1001040,4
1000649,4
1000644,4
1000502,4
1000139,4
1000134,4
1000042,4
1002866,3
1002752,3
1002676,3
1002643,3
1002639,3
1002596,3
1002591,3
1002435,3
1002336,3
1002286,3
1002280,3
1002211,3
1002204,3
1002141,3
1002127,3
1002124,3
1002095,3
1002050,3
1001946,3
1001663,3
1001538,3
1001353,3
1001311,3
1001237,3
1001184,3
1000977,3
1000736,3
1000637,3
1000611,3
1000456,3
1000454,3
1000433,3
1000398,3
1000395,3
1000357,3
1000335,3
1000330,3
1000272,3
1000261,3
1000243,3
1000178,3
1000081,3
1000002,3
1002930,2
1002829,2
1002820,2
1002670,2
1002644,2
1002642,2
1002607,2
1002588,2
1002581,2
1002576,2
1002496,2
1002477,2
1002469,2
1002455,2
1002392,2
1002379,2
1002369,2
1002358,2
1002344,2
1002341,2
1002281,2
1002273,2
1002253,2
1002215,2
1002207,2
1002151,2
1002134,2
1002102,2
1002060,2
1002033,2
1001987,2
1001962,2
1001943,2
1001942,2
1001871,2
1001692,2
1001690,2
1001516,2
1001480,2
1001457,2
1001240,2
1001221,2
1001130,2
1001004,2
1000993,2
1000944,2
1000873,2
1000868,2
1000859,2
1000769,2
1000746,2
1000680,2
1000679,2
1000567,2
1000469,2
1000401,2
1000387,2
1000365,2
1000308,2
1000257,2
1000214,2
1000158,2
1000145,2
1000099,2
1000086,2
1000051,2
1002935,1
1002909,1
1002907,1
1002865,1
1002864,1
1002859,1
1002849,1
1002838,1
1002833,1
1002831,1
1002821,1
1002816,1
1002807,1
1002785,1
1002782,1
1002774,1
1002770,1
1002744,1
1002732,1
1002727,1
1002720,1
1002715,1
1002713,1
1002705,1
1002702,1
1002693,1
1002675,1
1002659,1
1002653,1
1002645,1
1002618,1
1002609,1
1002601,1
1002577,1
1002553,1
1002549,1
1002542,1
1002528,1
1002526,1
1002520,1
1002505,1
1002495,1
1002482,1
