ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,ScoreOfReliability,VotingScore,Status
10006,1000049, 1,942,938,0.501064,0.498936,0.501064,1,merged
10006,1000049, 2,943,938,0.501329,0.498671,1.002393,1,merged
10006,1000049, 3,944,938,0.501594,0.498406,1.503987,1,merged
10008,1000049, 1,944,939,0.501328,0.498672,0.501328,1,merged
10008,1000049, 2,944,940,0.501062,0.498938,1.002389,1,merged
10008,1000049, 3,945,940,0.501326,0.498674,1.503715,1,merged
10051,1000049, 1,945,941,0.501060,0.498940,0.501060,1,merged
10051,1000049, 2,946,941,0.501325,0.498675,1.002385,1,merged
10051,1000023, 3,  4,  2,0.666667,0.333333,1.669052,1,merged
10063,1000049, 1,946,942,0.501059,0.498941,0.501059,1,merged
10063,1000015, 2,  5,  5,0.500000,0.500000,1.001059,1,merged
10063,1000049, 3,947,942,0.501323,0.498677,1.502383,1,merged
10064,1000049, 1,948,942,0.501587,0.498413,0.501587,1,merged
10064,1000120, 2,  1,  1,0.500000,0.500000,1.001587,1,merged
10064,1000049, 3,949,942,0.501851,0.498149,1.503438,1,merged
10069,1000049, 1,950,942,0.502114,0.497886,0.502114,1,merged
10069,1000049, 2,951,942,0.502377,0.497623,1.004491,1,merged
10069,1000049, 3,952,942,0.502640,0.497360,1.507131,1,merged
10070,1000049, 1,953,942,0.502902,0.497098,0.502902,1,merged
10070,1000113, 2,  2,  1,0.666667,0.333333,1.169569,1,merged
10070,1000175, 3,  4,  2,0.666667,0.333333,1.836236,1,merged
10080,1000049, 1,953,943,0.502637,0.497363,0.502637,1,abandoned
10080,1000004, 2,  5,  3,0.625000,0.375000,1.127637,1,abandoned
10080,1000026, 3,  1,  1,0.500000,0.500000,1.627637,1,abandoned
10097,1000049, 1,953,944,0.502372,0.497628,0.502372,1,merged
10097,1000049, 2,953,945,0.502107,0.497893,1.004480,1,merged
10097,1000049, 3,954,945,0.502370,0.497630,1.506849,1,merged
10105,1000049, 1,954,946,0.502105,0.497895,0.502105,1,merged
10105,1000049, 2,954,947,0.501841,0.498159,1.003946,1,merged
10105,1000049, 3,955,947,0.502103,0.497897,1.506049,1,merged
10123,1000049, 1,955,948,0.501839,0.498161,0.501839,1,merged
10123,1000049, 2,955,949,0.501576,0.498424,1.003415,1,merged
10123,1000049, 3,956,949,0.501837,0.498163,1.505252,1,merged
10139,1000049, 1,956,950,0.501574,0.498426,0.501574,1,abandoned
10139,1000049, 2,956,951,0.501311,0.498689,1.002885,1,abandoned
10139,1000049, 3,956,952,0.501048,0.498952,1.503933,1,abandoned
10143,1000049, 1,957,952,0.501310,0.498690,0.501310,1,merged
10143,1000217, 2,  2,  0,1.000000,0.000000,1.501310,1,merged
10143,1000049, 3,958,952,0.501571,0.498429,2.002880,1,merged
10155,1000049, 1,958,953,0.501308,0.498692,0.501308,1,merged
10155,1000049, 2,958,954,0.501046,0.498954,1.002354,1,merged
10155,1000049, 3,959,954,0.501307,0.498693,1.503661,1,merged
10157,1000049, 1,959,955,0.501045,0.498955,0.501045,1,merged
10157,1000049, 2,960,955,0.501305,0.498695,1.002350,1,merged
10157,1000127, 3,  4,  2,0.666667,0.333333,1.669017,1,merged
10159,1000049, 1,960,956,0.501044,0.498956,0.501044,-1,merged
10159,1000383, 2,  1,  0,1.000000,0.000000,1.501044,1,merged
10159,1000015, 3,  6,  5,0.545455,0.454545,2.046498,1,merged
10161,1000049, 1,960,957,0.500782,0.499218,0.500782,1,merged
10161,1000049, 2,961,957,0.501043,0.498957,1.001825,1,merged
10161,1000023, 3,  5,  2,0.714286,0.285714,1.716111,1,merged
10166,1000049, 1,961,958,0.500782,0.499218,0.500782,1,abandoned
10166,1000049, 2,961,959,0.500521,0.499479,1.001302,1,abandoned
10166,1000049, 3,961,960,0.500260,0.499740,1.501563,1,abandoned
10167,1000049, 1,961,961,0.500000,0.500000,0.500000,1,abandoned
10167,1000049, 2,961,962,0.499740,0.500260,0.999740,1,abandoned
10167,1000116, 3,  3,  2,0.600000,0.400000,1.599740,1,abandoned
10172,1000049, 1,961,963,0.499480,0.500520,0.499480,1,merged
10172,1000049, 2,961,964,0.499221,0.500779,0.998701,1,merged
10172,1000049, 3,962,964,0.499481,0.500519,1.498182,1,merged
10187,1000049, 1,962,965,0.499222,0.500778,0.499222,1,merged
10187,1000049, 2,962,966,0.498963,0.501037,0.998184,1,merged
10187,1000049, 3,963,966,0.499222,0.500778,1.497407,1,merged
10225,1000049, 1,963,967,0.498964,0.501036,0.498964,1,merged
10225,1000049, 2,963,968,0.498705,0.501295,0.997669,1,merged
10225,1000049, 3,964,968,0.498965,0.501035,1.496634,1,merged
10232,1000049, 1,965,968,0.499224,0.500776,0.499224,1,merged
10232,1000049, 2,966,968,0.499483,0.500517,0.998707,1,merged
10232,1000004, 3,  6,  3,0.666667,0.333333,1.665374,1,merged
10239,1000049, 1,967,968,0.499742,0.500258,0.499742,1,merged
10239,1000127, 2,  4,  3,0.571429,0.428571,1.071170,1,merged
10239,1000049, 3,968,968,0.500000,0.500000,1.571170,1,merged
10241,1000049, 1,968,969,0.499742,0.500258,0.499742,1,merged
10241,1000049, 2,969,969,0.500000,0.500000,0.999742,1,merged
10241,1000219, 3,  3,  0,1.000000,0.000000,1.999742,1,merged
10251,1000049, 1,969,970,0.499742,0.500258,0.499742,1,merged
10251,1000049, 2,970,970,0.500000,0.500000,0.999742,1,merged
10251,1000023, 3,  6,  2,0.750000,0.250000,1.749742,1,merged
