ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,ScoreOfReliability,VotingScore,Status
75109,3, 1,6110,1856,0.767010,0.232990,0.767010,-1,abandoned
75109,7092, 2, 16, 20,0.444444,0.555556,1.211454,-1,abandoned
75126,9542, 1,  1,  2,0.333333,0.666667,0.333333,1,abandoned
75126,3, 2,6110,1857,0.766914,0.233086,1.100247,1,abandoned
75153,3, 1,6110,1858,0.766817,0.233183,0.766817,1,abandoned
75153,964, 2, 49, 11,0.816667,0.183333,1.583484,-1,abandoned
75162,9578, 1,  2, 30,0.062500,0.937500,0.062500,1,abandoned
75162,3, 2,6111,1858,0.766847,0.233153,0.829347,-1,abandoned
75184,6549, 1,  2,  0,1.000000,0.000000,1.000000,-1,abandoned
75184,3, 2,6112,1858,0.766876,0.233124,1.766876,-1,abandoned
75232,3, 1,6112,1859,0.766780,0.233220,0.766780,1,abandoned
75232,3, 2,6112,1860,0.766683,0.233317,1.533463,1,abandoned
75235,3, 1,6113,1860,0.766713,0.233287,0.766713,1,merged
75235,3, 2,6114,1860,0.766742,0.233258,1.533455,1,merged
75320,10387, 1,  4,  0,1.000000,0.000000,1.000000,1,merged
75320,3, 2,6115,1860,0.766771,0.233229,1.766771,1,merged
75417,3, 1,6115,1861,0.766675,0.233325,0.766675,1,abandoned
75417,425, 2,  1,  2,0.333333,0.666667,1.100008,1,abandoned
75472,3, 1,6115,1862,0.766579,0.233421,0.766579,1,abandoned
75472,1054, 2,  1,  0,1.000000,0.000000,1.766579,-1,abandoned
75479,3, 1,6115,1863,0.766483,0.233517,0.766483,1,abandoned
75479,6316, 2,  2,  3,0.400000,0.600000,1.166483,1,abandoned
75523,3, 1,6115,1864,0.766387,0.233613,0.766387,1,abandoned
75523,3, 2,6116,1864,0.766416,0.233584,1.532803,-1,abandoned
75541,3, 1,6116,1865,0.766320,0.233680,0.766320,1,abandoned
75541,9548, 2,  1,  0,1.000000,0.000000,1.766320,-1,abandoned
75635,3, 1,6116,1866,0.766224,0.233776,0.766224,1,abandoned
75635,10240, 2,  0,  1,0.000000,1.000000,0.766224,1,abandoned
75648,9008, 1,  6,  2,0.750000,0.250000,0.750000,-1,abandoned
75648,3, 2,6117,1866,0.766253,0.233747,1.516253,-1,abandoned
75655,3, 1,6118,1866,0.766283,0.233717,0.766283,-1,abandoned
75655,2243, 2, 10,  5,0.666667,0.333333,1.432949,-1,abandoned
75685,3, 1,6118,1867,0.766187,0.233813,0.766187,1,abandoned
75685,6488, 2, 15,  3,0.833333,0.166667,1.599520,-1,abandoned
75750,3, 1,6118,1868,0.766091,0.233909,0.766091,1,abandoned
75750,2750, 2, 65,  5,0.928571,0.071429,1.694662,-1,abandoned
75761,3, 1,6118,1869,0.765995,0.234005,0.765995,1,abandoned
75761,3012, 2,  2,  0,1.000000,0.000000,1.765995,-1,abandoned
75777,3, 1,6118,1870,0.765899,0.234101,0.765899,1,abandoned
75777,9162, 2,  1,  0,1.000000,0.000000,1.765899,-1,abandoned
75822,9578, 1,  2, 31,0.060606,0.939394,0.060606,1,abandoned
75822,3, 2,6119,1870,0.765928,0.234072,0.826534,-1,abandoned
75834,9578, 1,  2, 32,0.058824,0.941176,0.058824,1,abandoned
75834,3, 2,6120,1870,0.765957,0.234043,0.824781,-1,abandoned
75856,9578, 1,  2, 33,0.057143,0.942857,0.057143,1,abandoned
75856,3, 2,6121,1870,0.765987,0.234013,0.823130,-1,abandoned
75899,3, 1,6121,1871,0.765891,0.234109,0.765891,1,abandoned
75899,7144, 2,  5,  0,1.000000,0.000000,1.765891,-1,abandoned
75926,3, 1,6122,1871,0.765920,0.234080,0.765920,-1,abandoned
75926,3, 2,6123,1871,0.765949,0.234051,1.531870,-1,abandoned
75946,3, 1,6123,1872,0.765854,0.234146,0.765854,1,abandoned
75946,7213, 2, 20, 18,0.526316,0.473684,1.292169,-1,abandoned
76128,3, 1,6123,1873,0.765758,0.234242,0.765758,1,abandoned
76128,1849, 2, 47,  5,0.903846,0.096154,1.669604,-1,abandoned
76130,3, 1,6123,1874,0.765662,0.234338,0.765662,1,abandoned
76130,8971, 2, 25, 51,0.328947,0.671053,1.094609,1,abandoned
76131,3, 1,6123,1875,0.765566,0.234434,0.765566,1,abandoned
76131,6610, 2,  1,  0,1.000000,0.000000,1.765566,-1,abandoned
76132,3, 1,6124,1875,0.765596,0.234404,0.765596,-1,abandoned
76132,7092, 2, 16, 21,0.432432,0.567568,1.198028,1,abandoned
76140,3, 1,6125,1875,0.765625,0.234375,0.765625,-1,abandoned
76140,7092, 2, 16, 22,0.421053,0.578947,1.186678,1,abandoned
76167,3, 1,6126,1875,0.765654,0.234346,0.765654,-1,abandoned
76167,3, 2,6127,1875,0.765684,0.234316,1.531338,-1,abandoned
76173,3, 1,6127,1876,0.765588,0.234412,0.765588,1,abandoned
76173,9884, 2,  0,  1,0.000000,1.000000,0.765588,1,abandoned
76176,3, 1,6127,1877,0.765492,0.234508,0.765492,1,abandoned
76176,8971, 2, 25, 52,0.324675,0.675325,1.090168,1,abandoned
76198,3, 1,6127,1878,0.765397,0.234603,0.765397,1,abandoned
76198,9545, 2,  2,  0,1.000000,0.000000,1.765397,-1,abandoned
76201,3, 1,6127,1879,0.765301,0.234699,0.765301,1,abandoned
76201,8971, 2, 25, 53,0.320513,0.679487,1.085814,1,abandoned
76306,3, 1,6127,1880,0.765205,0.234795,0.765205,1,abandoned
76306,105, 2,  4,  0,1.000000,0.000000,1.765205,-1,abandoned
76360,3, 1,6127,1881,0.765110,0.234890,0.765110,1,abandoned
76360,9884, 2,  0,  2,0.000000,1.000000,0.765110,1,abandoned
76385,679, 1, 69,  3,0.958333,0.041667,0.958333,-1,abandoned
76385,3, 2,6128,1881,0.765139,0.234861,1.723473,-1,abandoned
76394,3, 1,6128,1882,0.765044,0.234956,0.765044,1,abandoned
76394,3, 2,6128,1883,0.764948,0.235052,1.529992,1,abandoned
76402,3, 1,6129,1883,0.764978,0.235022,0.764978,-1,abandoned
76402,7217, 2,  1,  0,1.000000,0.000000,1.764978,-1,abandoned
76422,3, 1,6130,1883,0.765007,0.234993,0.765007,-1,abandoned
76422,3, 2,6130,1884,0.764911,0.235089,1.529918,1,abandoned
76512,3, 1,6130,1885,0.764816,0.235184,0.764816,1,abandoned
76512,668, 2,  3,  0,1.000000,0.000000,1.764816,-1,abandoned
76556,3, 1,6130,1886,0.764721,0.235279,0.764721,1,abandoned
76556,3, 2,6130,1887,0.764625,0.235375,1.529346,1,abandoned
76561,3, 1,6130,1888,0.764530,0.235470,0.764530,1,abandoned
76561,860, 2,  1,  0,1.000000,0.000000,1.764530,-1,abandoned
76746,3, 1,6131,1888,0.764559,0.235441,0.764559,-1,abandoned
76746,6537, 2,  3,  0,1.000000,0.000000,1.764559,-1,abandoned
76765,3, 1,6132,1888,0.764589,0.235411,0.764589,-1,abandoned
76765,6547, 2, 19,  0,1.000000,0.000000,1.764589,-1,abandoned
76772,3, 1,6132,1889,0.764493,0.235507,0.764493,1,abandoned
76772,1981, 2,  2,  0,1.000000,0.000000,1.764493,-1,abandoned
76792,3, 1,6132,1890,0.764398,0.235602,0.764398,1,abandoned
76792,3, 2,6132,1891,0.764303,0.235697,1.528701,1,abandoned
76843,3, 1,6132,1892,0.764207,0.235793,0.764207,1,abandoned
76843,7213, 2, 20, 19,0.512821,0.487179,1.277028,1,abandoned
76845,3, 1,6132,1893,0.764112,0.235888,0.764112,1,abandoned
76845,7213, 2, 20, 20,0.500000,0.500000,1.264112,1,abandoned
76855,3, 1,6132,1894,0.764017,0.235983,0.764017,1,abandoned
76855,8507, 2,  3,  0,1.000000,0.000000,1.764017,-1,abandoned
76886,8971, 1, 25, 54,0.316456,0.683544,0.316456,1,abandoned
76886,3, 2,6132,1895,0.763922,0.236078,1.080377,1,abandoned
76889,8971, 1, 26, 54,0.325000,0.675000,0.325000,-1,abandoned
