ReviewId, ReviewersNum, AveReliability, MimReliability, Status, PatchType
9299, 2, 0.662782, 0.600000, merged, AllCorrect
9303, 1, 0.753425, 0.753425, merged, AllCorrect
9305, 1, 0.333333, 0.333333, merged, AllCorrect
9307, 1, 0.830986, 0.830986, merged, AllInCorrect
9308, 4, 0.717174, 0.507042, merged, AllCorrect
9312, 1, 0.630435, 0.630435, merged, AllCorrect
9316, 1, 0.666667, 0.666667, abandoned, AllCorrect
9317, 1, 0.724490, 0.724490, merged, AllCorrect
9318, 1, 0.690141, 0.690141, merged, AllCorrect
9320, 1, 0.000000, 0.000000, merged, AllCorrect
9328, 2, 0.678822, 0.622951, abandoned, AllInCorrect
9330, 2, 0.622855, 0.453258, merged, NotConsensus
9333, 1, 0.000000, 0.000000, merged, AllInCorrect
9335, 1, 1.000000, 1.000000, merged, AllCorrect
9342, 1, 0.638298, 0.638298, merged, AllCorrect
9344, 1, 0.791519, 0.791519, merged, AllInCorrect
9347, 1, 0.545455, 0.545455, merged, AllCorrect
9348, 2, 0.850000, 0.700000, merged, AllCorrect
9349, 1, 0.878999, 0.878999, abandoned, AllCorrect
9354, 2, 0.804584, 0.726592, merged, NotConsensus
9356, 1, 0.661017, 0.661017, abandoned, AllInCorrect
9357, 6, 0.695783, 0.453774, merged, NotConsensus
9358, 1, 0.867925, 0.867925, merged, AllCorrect
9360, 1, 0.578947, 0.578947, merged, AllCorrect
9362, 2, 0.687702, 0.562500, abandoned, AllInCorrect
9365, 2, 0.703297, 0.692308, merged, NotConsensus
9367, 1, 0.454288, 0.454288, merged, AllCorrect
9368, 1, 0.454374, 0.454374, merged, AllCorrect
9371, 2, 0.322581, 0.000000, merged, AllCorrect
9372, 2, 0.553201, 0.454887, abandoned, NotConsensus
9373, 1, 0.652174, 0.652174, merged, AllCorrect
9374, 1, 0.647887, 0.647887, merged, AllCorrect
9379, 2, 0.000000, 0.000000, merged, AllCorrect
9381, 2, 0.732738, 0.732143, merged, NotConsensus
9384, 1, 0.523810, 0.523810, merged, AllCorrect
9386, 2, 0.853967, 0.828767, abandoned, NotConsensus
9387, 2, 0.834248, 0.791765, abandoned, NotConsensus
9388, 2, 0.811545, 0.792009, abandoned, AllCorrect
9390, 6, 0.720093, 0.454460, merged, NotConsensus
9396, 3, 0.654984, 0.454545, merged, AllCorrect
9398, 1, 0.775362, 0.775362, merged, AllInCorrect
9400, 1, 1.000000, 1.000000, merged, AllCorrect
9401, 1, 0.565217, 0.565217, merged, AllCorrect
9402, 9, 0.740374, 0.455056, merged, NotConsensus
9403, 1, 0.881279, 0.881279, merged, AllCorrect
9404, 3, 0.695808, 0.583333, abandoned, NotConsensus
9406, 1, 0.857143, 0.857143, merged, AllCorrect
9407, 2, 0.553030, 0.545455, merged, AllCorrect
9409, 1, 0.715686, 0.715686, merged, AllCorrect
9410, 1, 0.457674, 0.457674, merged, AllCorrect
9412, 4, 0.857170, 0.761194, merged, NotConsensus
9413, 1, 0.000000, 0.000000, merged, AllCorrect
9415, 1, 0.333333, 0.333333, merged, AllCorrect
9416, 4, 0.731772, 0.612903, merged, NotConsensus
9421, 2, 0.783077, 0.720000, merged, NotConsensus
9422, 1, 0.757143, 0.757143, abandoned, AllCorrect
9423, 3, 0.264085, 0.000000, merged, AllCorrect
9424, 1, 0.500000, 0.500000, merged, AllCorrect
9425, 1, 0.333333, 0.333333, merged, AllCorrect
9426, 1, 0.776173, 0.776173, abandoned, AllCorrect
9427, 1, 0.776978, 0.776978, abandoned, AllCorrect
9429, 4, 0.610385, 0.457249, merged, AllCorrect
9430, 2, 0.809457, 0.750000, merged, NotConsensus
9434, 1, 0.858156, 0.858156, merged, AllInCorrect
9436, 1, 0.500000, 0.500000, merged, AllCorrect
9443, 1, 0.000000, 0.000000, merged, AllInCorrect
9444, 1, 0.500000, 0.500000, merged, AllCorrect
9445, 4, 0.589324, 0.457328, merged, AllCorrect
9446, 3, 0.538412, 0.000000, merged, NotConsensus
9449, 1, 0.500000, 0.500000, merged, AllCorrect
9451, 1, 0.600000, 0.600000, merged, AllCorrect
9453, 4, 0.689220, 0.456562, abandoned, NotConsensus
9454, 1, 0.456140, 0.456140, merged, AllCorrect
9455, 3, 0.664197, 0.455300, merged, NotConsensus
9456, 1, 0.454880, 0.454880, merged, AllCorrect
9457, 1, 0.833333, 0.833333, abandoned, AllCorrect
9458, 1, 0.454462, 0.454462, merged, AllCorrect
9459, 2, 0.644241, 0.454044, merged, NotConsensus
9462, 1, 0.500000, 0.500000, abandoned, AllCorrect
9464, 1, 0.454128, 0.454128, merged, AllCorrect
9465, 3, 0.621246, 0.285714, abandoned, NotConsensus
9466, 1, 0.453712, 0.453712, merged, AllCorrect
9467, 1, 0.719298, 0.719298, merged, AllCorrect
9469, 1, 0.454212, 0.454212, merged, AllCorrect
9470, 2, 0.579737, 0.454712, merged, AllCorrect
9472, 2, 0.557143, 0.400000, merged, NotConsensus
9473, 2, 0.644796, 0.558824, merged, NotConsensus
9474, 1, 0.455210, 0.455210, merged, AllCorrect
9475, 1, 0.835526, 0.835526, merged, AllCorrect
9477, 1, 0.455708, 0.455708, merged, AllCorrect
9478, 1, 0.850000, 0.850000, merged, AllCorrect
9480, 3, 0.833673, 0.756098, merged, NotConsensus
9487, 5, 0.614940, 0.555556, merged, NotConsensus
9488, 2, 0.716959, 0.625000, merged, AllCorrect
9491, 1, 0.875691, 0.875691, abandoned, AllCorrect
9492, 1, 0.455373, 0.455373, merged, AllCorrect
9495, 3, 0.647721, 0.454133, merged, NotConsensus
9496, 1, 0.875000, 0.875000, merged, AllCorrect
9497, 3, 0.535328, 0.250000, merged, NotConsensus
9499, 1, 0.814286, 0.814286, merged, AllCorrect
9500, 2, 0.727108, 0.454216, merged, AllCorrect
9502, 2, 0.785803, 0.753425, merged, AllCorrect
9504, 2, 0.837461, 0.793103, merged, AllCorrect
9505, 1, 0.777778, 0.777778, merged, AllInCorrect
9506, 1, 0.454710, 0.454710, abandoned, AllInCorrect
9507, 2, 0.776737, 0.761905, abandoned, AllCorrect
9510, 2, 0.651978, 0.454299, merged, NotConsensus
9513, 2, 0.602888, 0.455776, merged, AllCorrect
9514, 1, 0.814961, 0.814961, merged, AllInCorrect
9515, 2, 0.596367, 0.454219, merged, NotConsensus
9519, 1, 0.453812, 0.453812, merged, AllCorrect
9521, 1, 0.882353, 0.882353, merged, AllCorrect
9522, 2, 0.527151, 0.454301, merged, AllCorrect
9523, 1, 0.791813, 0.791813, abandoned, AllCorrect
9525, 3, 0.627023, 0.454383, abandoned, NotConsensus
9526, 1, 0.453977, 0.453977, merged, AllCorrect
9528, 4, 0.752167, 0.453571, abandoned, NotConsensus
9532, 4, 0.718227, 0.592593, merged, NotConsensus
9534, 3, 0.543895, 0.000000, merged, NotConsensus
9536, 1, 0.778571, 0.778571, merged, AllCorrect
9537, 2, 0.779465, 0.743243, abandoned, AllCorrect
9538, 2, 0.586134, 0.453167, merged, AllCorrect
9540, 4, 0.682302, 0.452763, merged, NotConsensus
9542, 1, 0.671642, 0.671642, merged, AllCorrect
9543, 1, 0.676471, 0.676471, merged, AllCorrect
9544, 3, 0.608246, 0.450841, merged, NotConsensus
9545, 2, 0.663039, 0.450044, merged, NotConsensus
9547, 5, 0.669952, 0.450530, merged, NotConsensus
9550, 2, 0.662723, 0.450617, merged, NotConsensus
9551, 1, 0.451101, 0.451101, merged, AllCorrect
9552, 4, 0.743085, 0.450704, merged, NotConsensus
9553, 2, 0.662825, 0.450308, merged, NotConsensus
9554, 3, 0.729152, 0.450395, merged, NotConsensus
9555, 2, 0.660229, 0.450088, merged, NotConsensus
9556, 3, 0.732172, 0.449301, merged, NotConsensus
9557, 1, 0.448126, 0.448126, merged, AllCorrect
9558, 1, 0.447346, 0.447346, merged, AllCorrect
9562, 1, 0.882353, 0.882353, merged, AllInCorrect
9564, 4, 0.661886, 0.447826, merged, NotConsensus
9565, 1, 0.779359, 0.779359, merged, AllCorrect
9566, 2, 0.649272, 0.447528, merged, NotConsensus
9568, 3, 0.727414, 0.448007, merged, AllCorrect
9569, 1, 0.653846, 0.653846, abandoned, AllCorrect
9570, 1, 0.650000, 0.650000, merged, AllInCorrect
9572, 5, 0.643566, 0.565217, merged, NotConsensus
9577, 2, 0.648768, 0.448097, merged, AllCorrect
9578, 1, 0.447710, 0.447710, merged, AllCorrect
9580, 1, 0.847534, 0.847534, merged, AllInCorrect
9582, 2, 0.595081, 0.461538, merged, AllInCorrect
9587, 2, 0.855630, 0.836601, merged, NotConsensus
9590, 1, 0.448187, 0.448187, merged, AllCorrect
9591, 6, 0.676645, 0.500000, merged, NotConsensus
9592, 2, 0.224331, 0.000000, merged, AllCorrect
9593, 4, 0.521162, 0.125000, abandoned, NotConsensus
9596, 1, 1.000000, 1.000000, merged, AllCorrect
9598, 1, 0.588745, 0.588745, abandoned, AllCorrect
9599, 1, 0.448751, 0.448751, merged, AllCorrect
9605, 3, 0.745104, 0.625000, abandoned, AllCorrect
9606, 5, 0.682450, 0.600000, merged, AllCorrect
9607, 4, 0.707363, 0.449225, abandoned, NotConsensus
9608, 1, 0.448839, 0.448839, merged, AllCorrect
9610, 1, 0.878924, 0.878924, merged, AllCorrect
9612, 1, 0.449313, 0.449313, merged, AllCorrect
9613, 1, 0.706422, 0.706422, merged, AllCorrect
9615, 2, 0.586769, 0.449400, merged, AllCorrect
9618, 2, 0.819872, 0.800000, merged, AllCorrect
9620, 1, 0.840764, 0.840764, abandoned, AllCorrect
9621, 2, 0.719800, 0.647059, merged, NotConsensus
9623, 1, 0.792782, 0.792782, merged, AllInCorrect
9624, 1, 0.111111, 0.111111, merged, AllCorrect
9625, 3, 0.740398, 0.658537, merged, AllInCorrect
9630, 5, 0.685701, 0.449871, merged, NotConsensus
9639, 1, 0.843750, 0.843750, merged, AllCorrect
9640, 2, 0.582749, 0.542857, merged, AllCorrect
9641, 1, 0.727273, 0.727273, abandoned, AllInCorrect
9642, 3, 0.837502, 0.801724, merged, NotConsensus
9644, 1, 0.873641, 0.873641, merged, AllInCorrect
9645, 4, 0.728490, 0.450342, abandoned, NotConsensus
9655, 1, 0.873813, 0.873813, merged, AllInCorrect
9657, 3, 0.355428, 0.000000, merged, AllCorrect
9661, 2, 0.662206, 0.450427, merged, NotConsensus
9662, 2, 0.673163, 0.500000, merged, AllInCorrect
9663, 1, 0.845679, 0.845679, merged, AllCorrect
9664, 2, 0.803744, 0.733333, merged, NotConsensus
9665, 5, 0.736239, 0.450897, abandoned, NotConsensus
9666, 5, 0.377975, 0.000000, merged, NotConsensus
9668, 3, 0.564753, 0.448980, merged, AllCorrect
9670, 4, 0.729240, 0.448598, merged, NotConsensus
9673, 1, 0.448305, 0.448305, merged, AllCorrect
9674, 1, 0.448772, 0.448772, merged, AllCorrect
9675, 1, 0.449239, 0.449239, merged, AllCorrect
9677, 1, 0.449324, 0.449324, merged, AllCorrect
9680, 2, 0.533838, 0.449789, merged, AllCorrect
9681, 3, 0.621223, 0.450253, merged, AllCorrect
9684, 1, 0.450716, 0.450716, merged, AllCorrect
9685, 2, 0.354545, 0.000000, merged, AllCorrect
9686, 1, 0.803030, 0.803030, merged, AllCorrect
9692, 4, 0.713007, 0.618182, merged, NotConsensus
9693, 4, 0.706848, 0.620968, merged, AllCorrect
9696, 3, 0.694202, 0.451178, merged, AllCorrect
9698, 1, 0.625000, 0.625000, merged, AllCorrect
9700, 1, 0.451640, 0.451640, merged, AllCorrect
9701, 2, 0.619698, 0.451261, merged, AllCorrect
9703, 1, 0.451342, 0.451342, merged, AllCorrect
9704, 1, 0.451802, 0.451802, merged, AllCorrect
9705, 3, 0.568970, 0.452261, merged, AllCorrect
9707, 2, 0.803938, 0.760870, abandoned, AllCorrect
9708, 1, 0.500000, 0.500000, merged, AllInCorrect
9710, 1, 0.875000, 0.875000, merged, AllInCorrect
9711, 3, 0.824170, 0.722222, abandoned, NotConsensus
9712, 4, 0.682528, 0.500000, merged, AllCorrect
9713, 3, 0.619972, 0.452720, abandoned, AllCorrect
9715, 3, 0.707489, 0.453177, merged, NotConsensus
9716, 1, 0.451667, 0.451667, merged, AllCorrect
9717, 1, 0.803774, 0.803774, merged, AllCorrect
9718, 1, 0.775510, 0.775510, merged, AllCorrect
9719, 3, 0.709041, 0.452123, abandoned, AllCorrect
9723, 1, 0.772174, 0.772174, merged, AllInCorrect
9726, 2, 0.621248, 0.452579, merged, AllCorrect
9730, 2, 0.583660, 0.453034, merged, AllCorrect
9731, 1, 0.875576, 0.875576, abandoned, AllCorrect
9732, 3, 0.698588, 0.453488, merged, AllCorrect
9734, 1, 0.452361, 0.452361, merged, AllCorrect
9735, 2, 0.612692, 0.452815, merged, NotConsensus
9736, 2, 0.663470, 0.451772, merged, NotConsensus
9738, 2, 0.581821, 0.451931, merged, AllCorrect
9740, 2, 0.616190, 0.452381, merged, AllCorrect
9741, 1, 0.000000, 0.000000, merged, AllCorrect
9743, 1, 0.452830, 0.452830, merged, AllCorrect
9744, 3, 0.652349, 0.453279, abandoned, AllCorrect
9746, 1, 0.506849, 0.506849, merged, AllCorrect
9747, 1, 0.512821, 0.512821, merged, AllCorrect
9751, 2, 0.676641, 0.567568, merged, NotConsensus
9752, 1, 0.780142, 0.780142, merged, AllInCorrect
9754, 4, 0.544386, 0.000000, abandoned, NotConsensus
9756, 2, 0.669607, 0.611940, merged, AllCorrect
9759, 2, 0.576346, 0.452692, merged, AllCorrect
9761, 2, 0.722737, 0.600000, merged, AllInCorrect
9762, 1, 0.848485, 0.848485, merged, AllInCorrect
9766, 1, 0.558824, 0.558824, merged, AllCorrect
9768, 2, 0.537814, 0.453138, merged, AllCorrect
9769, 2, 0.538792, 0.453583, merged, AllCorrect
9771, 1, 0.454028, 0.454028, merged, AllCorrect
9772, 2, 0.608592, 0.454472, merged, AllCorrect
9773, 1, 0.766667, 0.766667, merged, AllCorrect
9774, 2, 0.612703, 0.454915, merged, NotConsensus
9776, 1, 0.454545, 0.454545, merged, AllCorrect
9777, 1, 0.869888, 0.869888, merged, AllCorrect
9779, 1, 0.774194, 0.774194, merged, AllCorrect
9780, 3, 0.653381, 0.454988, merged, NotConsensus
9781, 1, 0.455061, 0.455061, merged, AllCorrect
9785, 2, 0.665418, 0.455502, merged, NotConsensus
9786, 2, 0.831111, 0.781690, merged, AllCorrect
9789, 1, 0.589744, 0.589744, merged, AllInCorrect
9796, 3, 0.617876, 0.455942, merged, NotConsensus
9798, 1, 0.797468, 0.797468, merged, AllInCorrect
9799, 1, 0.456013, 0.456013, merged, AllCorrect
9800, 1, 0.666667, 0.666667, abandoned, AllCorrect
9803, 1, 0.662791, 0.662791, merged, AllCorrect
9805, 1, 0.875862, 0.875862, merged, AllInCorrect
9807, 2, 0.859760, 0.843373, merged, AllInCorrect
9815, 1, 0.793103, 0.793103, merged, AllInCorrect
9817, 1, 0.456452, 0.456452, merged, AllCorrect
9818, 3, 0.450805, 0.000000, merged, NotConsensus
9820, 1, 0.506024, 0.506024, abandoned, AllCorrect
9821, 3, 0.682058, 0.625498, merged, AllCorrect
9831, 5, 0.723915, 0.456890, abandoned, NotConsensus
9832, 4, 0.685253, 0.456522, abandoned, NotConsensus
9833, 2, 0.651154, 0.456154, merged, AllCorrect
9834, 2, 0.735849, 0.666667, merged, AllInCorrect
9835, 5, 0.563315, 0.000000, merged, AllCorrect
9836, 2, 0.777439, 0.750000, merged, NotConsensus
9837, 3, 0.832580, 0.792431, merged, NotConsensus
9839, 4, 0.701978, 0.455493, abandoned, NotConsensus
9840, 4, 0.417682, 0.000000, merged, NotConsensus
9845, 3, 0.730474, 0.662921, merged, AllCorrect
9846, 2, 0.636328, 0.529412, merged, AllCorrect
9847, 5, 0.265969, 0.000000, merged, NotConsensus
9848, 1, 0.861111, 0.861111, abandoned, AllCorrect
9849, 2, 0.689091, 0.560000, merged, AllCorrect
9851, 1, 0.455200, 0.455200, merged, AllCorrect
9852, 4, 0.688438, 0.455272, merged, NotConsensus
9853, 1, 0.862069, 0.862069, abandoned, AllCorrect
9855, 1, 0.455343, 0.455343, merged, AllCorrect
9857, 2, 0.553470, 0.455777, merged, AllCorrect
9862, 2, 0.623986, 0.456210, merged, AllCorrect
9863, 1, 0.571429, 0.571429, merged, AllCorrect
9864, 1, 0.625000, 0.625000, merged, AllCorrect
9865, 1, 0.666667, 0.666667, merged, AllCorrect
9866, 2, 0.710000, 0.700000, merged, AllCorrect
9867, 3, 0.672616, 0.511628, merged, NotConsensus
9868, 1, 0.666667, 0.666667, merged, AllCorrect
9871, 1, 0.692308, 0.692308, merged, AllCorrect
9874, 1, 0.456643, 0.456643, merged, AllCorrect
9875, 2, 0.692504, 0.578947, merged, AllCorrect
9876, 1, 0.000000, 0.000000, merged, AllCorrect
9877, 2, 0.598713, 0.457075, abandoned, AllCorrect
9878, 4, 0.733180, 0.457506, abandoned, NotConsensus
9879, 4, 0.437936, 0.000000, merged, NotConsensus
9880, 1, 0.517241, 0.517241, merged, AllCorrect
9881, 2, 0.618506, 0.522727, merged, AllCorrect
9882, 2, 0.630712, 0.528090, merged, AllCorrect
9883, 1, 0.750000, 0.750000, merged, AllCorrect
9884, 1, 0.705882, 0.705882, merged, AllCorrect
9887, 2, 0.627778, 0.533333, merged, AllCorrect
9888, 2, 0.637652, 0.538462, merged, AllCorrect
9889, 1, 0.532609, 0.532609, merged, AllCorrect
9890, 1, 0.700000, 0.700000, merged, AllCorrect
9891, 1, 0.666667, 0.666667, merged, AllCorrect
9892, 2, 0.801198, 0.800000, merged, AllInCorrect
9893, 4, 0.721826, 0.575000, merged, NotConsensus
9894, 1, 0.802469, 0.802469, merged, AllInCorrect
9896, 1, 0.456196, 0.456196, abandoned, AllCorrect
9897, 1, 0.746667, 0.746667, merged, AllInCorrect
9901, 1, 0.652174, 0.652174, merged, AllCorrect
9902, 1, 0.666667, 0.666667, merged, AllCorrect
9903, 1, 0.615385, 0.615385, merged, AllCorrect
9909, 1, 0.571429, 0.571429, merged, AllCorrect
9910, 1, 0.533333, 0.533333, merged, AllCorrect
9912, 1, 0.875847, 0.875847, merged, AllCorrect
9913, 1, 0.866667, 0.866667, merged, AllCorrect
9915, 2, 0.642727, 0.456625, merged, NotConsensus
9916, 2, 0.665428, 0.456693, merged, NotConsensus
9917, 1, 0.648649, 0.648649, merged, AllCorrect
9918, 1, 0.666667, 0.666667, merged, AllCorrect
9919, 2, 0.556952, 0.456761, merged, AllCorrect
9920, 1, 0.591489, 0.591489, merged, AllCorrect
9922, 3, 0.692047, 0.457188, abandoned, NotConsensus
9924, 3, 0.663137, 0.456829, merged, NotConsensus
9925, 1, 0.456897, 0.456897, merged, AllCorrect
9926, 1, 0.779720, 0.779720, merged, AllInCorrect
9928, 1, 0.666667, 0.666667, abandoned, AllCorrect
9930, 3, 0.711784, 0.457322, merged, NotConsensus
9932, 9, 0.714537, 0.458236, merged, NotConsensus
9933, 2, 0.548097, 0.455745, merged, AllCorrect
9935, 2, 0.576360, 0.456168, merged, AllCorrect
9936, 1, 0.456589, 0.456589, merged, AllCorrect
9937, 3, 0.654911, 0.457010, merged, AllCorrect
9938, 2, 0.561662, 0.456656, merged, AllCorrect
9940, 3, 0.749408, 0.457077, merged, NotConsensus
9943, 2, 0.671409, 0.456371, abandoned, AllCorrect
9944, 7, 0.776648, 0.457209, merged, NotConsensus
9947, 1, 0.457275, 0.457275, merged, AllCorrect
9948, 3, 0.901187, 0.814672, merged, NotConsensus
9949, 3, 0.729470, 0.456572, abandoned, NotConsensus
9950, 2, 0.550158, 0.455871, merged, AllCorrect
9953, 2, 0.725467, 0.700935, merged, AllInCorrect
9955, 3, 0.674574, 0.626984, merged, AllCorrect
9956, 2, 0.665310, 0.456288, merged, NotConsensus
9957, 1, 0.455939, 0.455939, merged, AllCorrect
9958, 2, 0.542232, 0.456006, merged, AllCorrect
9959, 1, 0.555556, 0.555556, merged, AllCorrect
9963, 1, 0.456073, 0.456073, merged, AllCorrect
9965, 2, 0.759398, 0.714286, merged, NotConsensus
9966, 5, 0.668192, 0.456489, merged, NotConsensus
9967, 3, 0.749692, 0.655914, merged, NotConsensus
