ReviewId, ReviewersNum, AveReliability, MimReliability, Status, PatchType
7071, 1, 0.839080, 0.839080, merged, AllCorrect
7072, 2, 0.894632, 0.864662, merged, AllCorrect
7073, 1, 0.810811, 0.810811, merged, AllCorrect
7074, 1, 0.770492, 0.770492, merged, AllCorrect
7075, 1, 0.872414, 0.872414, merged, AllCorrect
7076, 1, 0.908873, 0.908873, merged, AllCorrect
7077, 1, 0.959596, 0.959596, merged, AllCorrect
7078, 1, 0.815700, 0.815700, abandoned, AllCorrect
7079, 1, 0.959799, 0.959799, merged, AllCorrect
7080, 1, 0.865672, 0.865672, abandoned, AllCorrect
7081, 1, 0.855072, 0.855072, merged, AllCorrect
7082, 1, 0.909308, 0.909308, merged, AllCorrect
7084, 1, 0.872633, 0.872633, merged, AllCorrect
7085, 1, 0.974359, 0.974359, merged, AllCorrect
7087, 1, 0.872852, 0.872852, merged, AllCorrect
7088, 1, 0.900000, 0.900000, merged, AllCorrect
7089, 1, 0.844444, 0.844444, merged, AllCorrect
7090, 1, 0.625000, 0.625000, merged, AllCorrect
7091, 1, 0.737705, 0.737705, merged, AllCorrect
7092, 1, 0.847826, 0.847826, merged, AllCorrect
7093, 1, 0.842105, 0.842105, merged, AllCorrect
7094, 1, 0.843750, 0.843750, merged, AllCorrect
7095, 1, 0.873070, 0.873070, merged, AllCorrect
7096, 1, 0.854077, 0.854077, merged, AllCorrect
7097, 1, 0.854701, 0.854701, merged, AllCorrect
7098, 1, 0.855319, 0.855319, merged, AllCorrect
7099, 1, 0.815385, 0.815385, merged, AllCorrect
7100, 1, 0.845361, 0.845361, merged, AllCorrect
7101, 2, 0.874087, 0.846939, merged, AllCorrect
7102, 1, 0.740541, 0.740541, merged, AllCorrect
7103, 1, 0.848485, 0.848485, merged, AllCorrect
7104, 1, 0.871795, 0.871795, merged, AllCorrect
7105, 1, 0.872232, 0.872232, merged, AllCorrect
7106, 1, 0.872666, 0.872666, merged, AllCorrect
7107, 1, 0.872881, 0.872881, merged, AllCorrect
7108, 2, 0.833229, 0.810526, merged, AllCorrect
7109, 1, 0.873311, 0.873311, merged, AllCorrect
7110, 1, 0.902439, 0.902439, merged, AllCorrect
7111, 1, 0.903614, 0.903614, merged, AllCorrect
7112, 1, 0.873524, 0.873524, merged, AllCorrect
7113, 1, 0.903226, 0.903226, merged, AllCorrect
