ReviewId, Reviewerid, CommentIndex, NumOfCurrent, NumOfincurrent, CurrentPar, IncurrentPar, ScoreOfReliability, VotingScore, Status
9299, 6,  1, 193,  73, 0.725564, 0.274436, 0.725564, 1, merged
9299, 782,  2,  15,  10, 0.600000, 0.400000, 1.325564, 1, merged
9328, 261,  1,  36,  13, 0.734694, 0.265306, 0.734694, 1, abandoned
9328, 2350,  2,  38,  23, 0.622951, 0.377049, 1.357645, 1, abandoned
9330, 2166,  1, 480, 579, 0.453258, 0.546742, 0.453258, 1, merged
9330, 7,  2, 672, 176, 0.792453, 0.207547, 1.245711, -1, merged
9348, 838,  1,  14,   6, 0.700000, 0.300000, 0.700000, 1, merged
9348, 25,  2,   4,   0, 1.000000, 0.000000, 1.700000, 1, merged
9354, 360,  1, 233,  31, 0.882576, 0.117424, 0.882576, -1, merged
9354, 6,  2, 194,  73, 0.726592, 0.273408, 1.609168, 1, merged
9362, 2592,  1,  18,  14, 0.562500, 0.437500, 0.562500, 1, abandoned
9362, 447,  2, 126,  29, 0.812903, 0.187097, 1.375403, 1, abandoned
9365, 866,  1,  99,  44, 0.692308, 0.307692, 0.692308, -1, merged
9365, 2696,  2,   5,   2, 0.714286, 0.285714, 1.406593, 1, merged
9371, 4610,  1,   0,   0, 0.000000, 0.000000, 0.000000, 1, merged
9371, 2750,  2,  40,  22, 0.645161, 0.354839, 0.645161, -1, merged
9372, 2750,  1,  43,  23, 0.651515, 0.348485, 0.651515, 1, abandoned
9372, 2166,  2, 484, 580, 0.454887, 0.545113, 1.106402, 1, abandoned
9379, 4257,  1,   0,   0, 0.000000, 0.000000, 0.000000, 1, merged
9379, 3098,  2,   0,   0, 0.000000, 0.000000, 0.000000, 1, merged
9381, 236,  1,  41,  15, 0.732143, 0.267857, 0.732143, 1, merged
9381, 693,  2,  55,  20, 0.733333, 0.266667, 1.465476, -1, merged
9386, 1132,  1, 633,  87, 0.879167, 0.120833, 0.879167, 1, abandoned
9386, 1561,  2, 121,  25, 0.828767, 0.171233, 1.707934, -1, abandoned
9387, 1132,  1, 633,  89, 0.876731, 0.123269, 0.876731, 1, abandoned
9387, 7,  2, 673, 177, 0.791765, 0.208235, 1.668496, -1, abandoned
9388, 7,  1, 674, 177, 0.792009, 0.207991, 0.792009, -1, abandoned
9388, 1561,  2, 123,  25, 0.831081, 0.168919, 1.623090, -1, abandoned
