ReviewId, Reviewerid, CommentIndex, NumOfCurrent, NumOfincurrent, CurrentPar, IncurrentPar, ScoreOfReliability, VotingScore, Status
   7, 1000004,  1,   0,   0, 0.000000, 0.000000, 0.000000, 1, merged
   7, 1000027,  2,   0,   0, 0.000000, 0.000000, 0.000000, 1, merged
   7, 1000009,  3,   0,   0, 0.000000, 0.000000, 0.000000, 1, merged
  91, 1000009,  1,   8,   2, 0.800000, 0.200000, 0.800000, 1, merged
  91, 1000004,  2,   6,   3, 0.666667, 0.333333, 1.466667, 1, merged
  91, 1000007,  3,  14,   6, 0.700000, 0.300000, 2.166667, 1, merged
 234, 1000086,  1,   1,   0, 1.000000, 0.000000, 1.000000, 1, merged
 234, 1000063,  2,   8,   0, 1.000000, 0.000000, 2.000000, 1, merged
 234, 1000053,  3,   8,   3, 0.727273, 0.272727, 2.727273, 1, merged
 235, 1000063,  1,   8,   1, 0.888889, 0.111111, 0.888889, -1, merged
 235, 1000084,  2,   9,   0, 1.000000, 0.000000, 1.888889, 1, merged
 235, 1000053,  3,   9,   3, 0.750000, 0.250000, 2.638889, 1, merged
 326, 1000045,  1,   1,   0, 1.000000, 0.000000, 1.000000, 1, abandoned
 326, 1000035,  2,   9,   0, 1.000000, 0.000000, 2.000000, -1, abandoned
 326, 1000121,  3,   0,   0, 0.000000, 0.000000, 2.000000, -1, abandoned
 568, 1000134,  1,   0,   0, 0.000000, 0.000000, 0.000000, 1, merged
 568, 1000023,  2,   2,   0, 1.000000, 0.000000, 1.000000, 1, merged
 568, 1000063,  3,  15,   1, 0.937500, 0.062500, 1.937500, 1, merged
 644, 1000023,  1,   6,   0, 1.000000, 0.000000, 1.000000, 1, merged
 644, 1000129,  2,   0,   0, 0.000000, 0.000000, 1.000000, 1, merged
 644, 1000063,  3,  17,   1, 0.944444, 0.055556, 1.944444, 1, merged
 657, 1000328,  1,   0,   0, 0.000000, 0.000000, 0.000000, -1, merged
 657, 1000155,  2,   0,   0, 0.000000, 0.000000, 0.000000, -1, merged
 657, 1000329,  3,   0,   0, 0.000000, 0.000000, 0.000000, 1, merged
 661, 1000328,  1,   4,   4, 0.500000, 0.500000, 0.500000, 1, merged
