ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,ScoreOfReliability,VotingScore,Status
57660,1000049, 1,7257,5947,0.549606,0.450394,0.549606,1,merged
57660,1000049, 2,7257,5948,0.549565,0.450435,1.099171,1,merged
57660,1000049, 3,7258,5948,0.549599,0.450401,1.648769,1,merged
57664,1000049, 1,7258,5949,0.549557,0.450443,0.549557,1,merged
57664,1000049, 2,7259,5949,0.549591,0.450409,1.099148,1,merged
57664,1000110, 3, 26,  7,0.787879,0.212121,1.887027,1,merged
57698,1000049, 1,7259,5950,0.549550,0.450450,0.549550,1,abandoned
57698,1000049, 2,7259,5951,0.549508,0.450492,1.099057,1,abandoned
57698,1000017, 3, 63,  8,0.887324,0.112676,1.986381,1,abandoned
57699,1000049, 1,7259,5952,0.549466,0.450534,0.549466,1,merged
57699,1000007, 2, 79, 29,0.731481,0.268519,1.280948,-1,merged
57699,1000049, 3,7260,5952,0.549500,0.450500,1.830448,1,merged
57708,1000049, 1,7260,5953,0.549459,0.450541,0.549459,1,merged
57708,1000049, 2,7260,5954,0.549417,0.450583,1.098876,1,merged
57708,1000049, 3,7261,5954,0.549451,0.450549,1.648328,1,merged
57735,1000049, 1,7261,5955,0.549410,0.450590,0.549410,1,merged
57735,1000032, 2, 21,  2,0.913043,0.086957,1.462453,-1,merged
57735,1000049, 3,7262,5955,0.549444,0.450556,2.011897,1,merged
57742,1000049, 1,7263,5955,0.549478,0.450522,0.549478,1,merged
57742,1002263, 2,  9,  4,0.692308,0.307692,1.241786,-1,merged
57742,1002263, 3, 10,  4,0.714286,0.285714,1.956071,1,merged
57744,1000049, 1,7263,5956,0.549436,0.450564,0.549436,1,merged
57744,1000049, 2,7264,5956,0.549470,0.450530,1.098907,1,merged
57744,1000008, 3, 14,  2,0.875000,0.125000,1.973907,1,merged
57746,1000049, 1,7264,5957,0.549429,0.450571,0.549429,1,merged
57746,1000049, 2,7264,5958,0.549387,0.450613,1.098816,1,merged
57746,1000049, 3,7265,5958,0.549421,0.450579,1.648238,1,merged
57749,1000049, 1,7265,5959,0.549380,0.450620,0.549380,1,merged
57749,1000049, 2,7266,5959,0.549414,0.450586,1.098794,1,merged
57749,1000121, 3, 84, 11,0.884211,0.115789,1.983004,-1,merged
57757,1000049, 1,7267,5959,0.549448,0.450552,0.549448,1,merged
57757,1002263, 2, 11,  4,0.733333,0.266667,1.282781,1,merged
57757,1000026, 3, 34,  4,0.894737,0.105263,2.177518,1,merged
57759,1000049, 1,7267,5960,0.549407,0.450593,0.549407,1,merged
57759,1000049, 2,7268,5960,0.549441,0.450559,1.098847,1,merged
57759,1000049, 3,7269,5960,0.549475,0.450525,1.648322,1,merged
57764,1000049, 1,7269,5961,0.549433,0.450567,0.549433,1,merged
57764,1000019, 2, 13,  5,0.722222,0.277778,1.271655,-1,merged
57764,1000049, 3,7270,5961,0.549467,0.450533,1.821122,1,merged
57765,1000049, 1,7270,5962,0.549426,0.450574,0.549426,1,abandoned
57765,1000004, 2,246, 58,0.809211,0.190789,1.358636,1,abandoned
57765,1000049, 3,7270,5963,0.549384,0.450616,1.908020,1,abandoned
57769,1000049, 1,7271,5963,0.549418,0.450582,0.549418,1,merged
57769,1000049, 2,7271,5964,0.549377,0.450623,1.098795,1,merged
57769,1000049, 3,7272,5964,0.549411,0.450589,1.648206,1,merged
57772,1000049, 1,7272,5965,0.549369,0.450631,0.549369,1,merged
57772,1000049, 2,7273,5965,0.549403,0.450597,1.098772,1,merged
57772,1000530, 3,  8,  2,0.800000,0.200000,1.898772,1,merged
57773,1000049, 1,7273,5966,0.549362,0.450638,0.549362,1,merged
57773,1000049, 2,7274,5966,0.549396,0.450604,1.098758,1,merged
57773,1001454, 3, 51,  3,0.944444,0.055556,2.043202,1,merged
57782,1000049, 1,7274,5967,0.549354,0.450646,0.549354,1,merged
57782,1000026, 2, 35,  4,0.897436,0.102564,1.446790,-1,merged
57782,1000049, 3,7275,5967,0.549388,0.450612,1.996178,1,merged
57792,1000049, 1,7275,5968,0.549347,0.450653,0.549347,1,abandoned
57792,1000049, 2,7275,5969,0.549305,0.450695,1.098652,1,abandoned
57792,1000049, 3,7275,5970,0.549264,0.450736,1.647916,1,abandoned
57807,1000049, 1,7275,5971,0.549222,0.450778,0.549222,1,merged
57807,1000110, 2, 27,  7,0.794118,0.205882,1.343340,-1,merged
57807,1000049, 3,7276,5971,0.549256,0.450744,1.892596,1,merged
57815,1000049, 1,7276,5972,0.549215,0.450785,0.549215,1,merged
57815,1000049, 2,7276,5973,0.549174,0.450826,1.098388,1,merged
57815,1000049, 3,7277,5973,0.549208,0.450792,1.647596,1,merged
57817,1000049, 1,7278,5973,0.549242,0.450758,0.549242,1,merged
57817,1000049, 2,7279,5973,0.549276,0.450724,1.098517,1,merged
57817,1000017, 3, 64,  8,0.888889,0.111111,1.987406,1,merged
57828,1000049, 1,7280,5973,0.549310,0.450690,0.549310,-1,merged
57828,1000049, 2,7281,5973,0.549344,0.450656,1.098653,1,merged
57828,1000049, 3,7282,5973,0.549378,0.450622,1.648031,1,merged
57833,1000049, 1,7283,5973,0.549412,0.450588,0.549412,1,merged
57833,1000049, 2,7284,5973,0.549446,0.450554,1.098857,1,merged
57833,1000049, 3,7285,5973,0.549480,0.450520,1.648337,1,merged
57843,1000049, 1,7285,5974,0.549438,0.450562,0.549438,1,merged
57843,1000049, 2,7285,5975,0.549397,0.450603,1.098835,1,merged
57843,1000049, 3,7286,5975,0.549431,0.450569,1.648265,1,merged
57862,1000049, 1,7287,5975,0.549465,0.450535,0.549465,1,merged
57862,1000534, 2, 38, 12,0.760000,0.240000,1.309465,-1,merged
57862,1000009, 3, 50, 34,0.595238,0.404762,1.904703,1,merged
57877,1000049, 1,7287,5976,0.549423,0.450577,0.549423,1,merged
57877,1000049, 2,7287,5977,0.549382,0.450618,1.098805,1,merged
57877,1000049, 3,7288,5977,0.549416,0.450584,1.648221,1,merged
57887,1000049, 1,7289,5977,0.549450,0.450550,0.549450,1,merged
57887,1000173, 2, 20,  1,0.952381,0.047619,1.501831,1,merged
57887,1000049, 3,7290,5977,0.549484,0.450516,2.051314,1,merged
57893,1000049, 1,7290,5978,0.549442,0.450558,0.549442,1,merged
57893,1000049, 2,7290,5979,0.549401,0.450599,1.098843,1,merged
57893,1000049, 3,7291,5979,0.549435,0.450565,1.648278,1,merged
57902,1000049, 1,7292,5979,0.549469,0.450531,0.549469,-1,merged
57902,1000049, 2,7293,5979,0.549503,0.450497,1.098971,-1,merged
57902,1000049, 3,7294,5979,0.549537,0.450463,1.648508,1,merged
57909,1000049, 1,7294,5980,0.549495,0.450505,0.549495,1,merged
57909,1000085, 2, 12, 12,0.500000,0.500000,1.049495,1,merged
57909,1000049, 3,7295,5980,0.549529,0.450471,1.599024,1,merged
57928,1000049, 1,7295,5981,0.549488,0.450512,0.549488,1,merged
57928,1000049, 2,7295,5982,0.549446,0.450554,1.098934,1,merged
57928,1000049, 3,7296,5982,0.549480,0.450520,1.648415,1,merged
57931,1000049, 1,7296,5983,0.549439,0.450561,0.549439,1,merged
57931,1000049, 2,7296,5984,0.549398,0.450602,1.098837,1,merged
57931,1000049, 3,7297,5984,0.549432,0.450568,1.648268,1,merged
57947,1000049, 1,7298,5984,0.549465,0.450535,0.549465,1,merged
57947,1000530, 2,  9,  2,0.818182,0.181818,1.367647,1,merged
57947,1000049, 3,7299,5984,0.549499,0.450501,1.917147,1,merged
57956,1000049, 1,7300,5984,0.549533,0.450467,0.549533,1,merged
57956,1000049, 2,7300,5985,0.549492,0.450508,1.099025,1,merged
57956,1000049, 3,7301,5985,0.549526,0.450474,1.648551,1,merged
57959,1000049, 1,7301,5986,0.549484,0.450516,0.549484,1,merged
57959,1000049, 2,7302,5986,0.549518,0.450482,1.099003,1,merged
57959,1000049, 3,7303,5986,0.549552,0.450448,1.648555,1,merged
57990,1000049, 1,7304,5986,0.549586,0.450414,0.549586,1,merged
57990,1000534, 2, 39, 12,0.764706,0.235294,1.314292,1,merged
57990,1000009, 3, 51, 34,0.600000,0.400000,1.914292,1,merged
58013,1000049, 1,7305,5986,0.549620,0.450380,0.549620,1,merged
58013,1000120, 2, 81, 10,0.890110,0.109890,1.439730,-1,merged
58013,1000049, 3,7306,5986,0.549654,0.450346,1.989384,1,merged
58019,1000049, 1,7306,5987,0.549613,0.450387,0.549613,1,merged
58019,1000049, 2,7307,5987,0.549646,0.450354,1.099259,1,merged
58019,1000004, 3,247, 58,0.809836,0.190164,1.909095,1,merged
58025,1000049, 1,7308,5987,0.549680,0.450320,0.549680,1,abandoned
58025,1000049, 2,7308,5988,0.549639,0.450361,1.099319,1,abandoned
58025,1000049, 3,7308,5989,0.549598,0.450402,1.648917,1,abandoned
58035,1000049, 1,7308,5990,0.549556,0.450444,0.549556,1,merged
