[1]
Precision, Recall, F1
0.008,0.013,0.236
0.008,0.013,0.236
0.984,1.000,0.995
[-1]
Precision, Recall, F1
0.188,0.190,0.556
0.188,0.190,0.556
0.984,1.000,0.996
[1, 1]
Precision, Recall, F1
0.006,0.034,0.025
0.007,0.035,0.026
0.994,0.999,0.999
[1, -1]
Precision, Recall, F1
0.032,0.152,0.050
0.032,0.153,0.051
0.999,1.000,1.000
[-1, 1]
Precision, Recall, F1
0.006,0.014,0.020
0.006,0.014,0.020
1.000,0.995,0.999
[-1, -1]
Precision, Recall, F1
0.018,0.040,0.053
0.018,0.040,0.053
1.000,1.000,1.000
[1]
Precision, Recall, F1
0.000,0.006,0.060
0.000,0.006,0.062
0.330,0.991,0.872
[-1]
Precision, Recall, F1
0.018,0.174,0.155
0.018,0.174,0.156
0.567,0.970,0.938
[1, 1]
Precision, Recall, F1
0.027,0.270,0.298
0.028,0.270,0.314
0.246,0.909,0.806
[1, -1]
Precision, Recall, F1
0.024,0.679,0.132
0.025,0.704,0.140
0.909,0.981,0.996
[-1, 1]
Precision, Recall, F1
0.001,0.015,0.049
0.001,0.015,0.054
0.408,0.923,0.916
[-1, -1]
Precision, Recall, F1
0.027,0.464,0.134
0.027,0.464,0.137
0.791,0.946,0.985
