ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,score,Status
10001,1000049,1,0,1,0,1,0,merged
10001,1000049,2,1,1,0.5,0.5,0.5,merged
10014,1000049,1,1,2,0.333333,0.666667,0.333333,merged
10014,1000049,2,2,2,0.5,0.5,0.833333,merged
10018,1000049,1,2,3,0.4,0.6,0.4,merged
10018,1000049,2,3,3,0.5,0.5,0.9,merged
10035,1000049,1,4,3,0.571429,0.428571,0.571429,merged
10035,1000005,2,1,0,1,0,1.571429,merged
10039,1000049,1,4,4,0.5,0.5,0.5,merged
10039,1000049,2,5,4,0.555556,0.444444,1.055556,merged
10043,1000049,1,5,5,0.5,0.5,0.5,merged
10043,1000049,2,6,5,0.545455,0.454545,1.045455,merged
10045,1000049,1,7,5,0.583333,0.416667,0.583333,merged
10045,1000096,2,1,0,1,0,1.583333,merged
10046,1000049,1,7,6,0.538462,0.461538,0.538462,merged
10046,1000049,2,8,6,0.571429,0.428571,1.10989,merged
10049,1000049,1,8,7,0.533333,0.466667,0.533333,merged
10049,1000049,2,9,7,0.5625,0.4375,1.095833,merged
10060,1000049,1,9,8,0.529412,0.470588,0.529412,merged
10060,1000049,2,10,8,0.555556,0.444444,1.084967,merged
10061,1000049,1,10,9,0.526316,0.473684,0.526316,merged
10061,1000049,2,11,9,0.55,0.45,1.076316,merged
10066,1000049,1,11,10,0.52381,0.47619,0.52381,merged
10066,1000049,2,12,10,0.545455,0.454545,1.069264,merged
10074,1000049,1,12,11,0.521739,0.478261,0.521739,merged
10074,1000049,2,13,11,0.541667,0.458333,1.063406,merged
10084,1000049,1,14,11,0.56,0.44,0.56,merged
10084,1000116,2,1,0,1,0,1.56,merged
10085,1000049,1,14,12,0.538462,0.461538,0.538462,merged
10085,1000049,2,15,12,0.555556,0.444444,1.094017,merged
10086,1000049,1,15,13,0.535714,0.464286,0.535714,merged
10086,1000049,2,16,13,0.551724,0.448276,1.087438,merged
10093,1000049,1,17,13,0.566667,0.433333,0.566667,merged
10093,1000049,2,18,13,0.580645,0.419355,1.147312,merged
10099,1000049,1,18,14,0.5625,0.4375,0.5625,merged
10099,1000049,2,19,14,0.575758,0.424242,1.138258,merged
10104,1000049,1,20,14,0.588235,0.411765,0.588235,merged
10104,1000238,2,1,0,1,0,1.588235,merged
10116,1000049,1,21,14,0.6,0.4,0.6,merged
10116,1000017,2,1,0,1,0,1.6,merged
10120,1000049,1,22,14,0.611111,0.388889,0.611111,merged
10120,1000049,2,23,14,0.621622,0.378378,1.232733,merged
10124,1000049,1,23,15,0.605263,0.394737,0.605263,merged
10124,1000049,2,24,15,0.615385,0.384615,1.220648,merged
10125,1000049,1,25,15,0.625,0.375,0.625,merged
10125,1000049,2,26,15,0.634146,0.365854,1.259146,merged
10127,1000049,1,26,16,0.619048,0.380952,0.619048,merged
10127,1000049,2,27,16,0.627907,0.372093,1.246955,merged
10128,1000049,1,28,16,0.636364,0.363636,0.636364,merged
10128,1000023,2,1,0,1,0,1.636364,merged
10129,1000049,1,29,16,0.644444,0.355556,0.644444,merged
10129,1000063,2,1,0,1,0,1.644444,merged
10130,1000049,1,30,16,0.652174,0.347826,0.652174,abandoned
10130,1000049,2,31,16,0.659574,0.340426,1.311748,abandoned
10136,1000049,1,31,17,0.645833,0.354167,0.645833,merged
10136,1000049,2,32,17,0.653061,0.346939,1.298895,merged
10142,1000049,1,33,17,0.66,0.34,0.66,merged
10142,1000049,2,34,17,0.666667,0.333333,1.326667,merged
