ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,ScoreOfReliability,VotingScore,Status
10006,1000049, 1,  0,  1,0.000000,1.000000,0.000000,1,merged
10006,1000049, 2,  1,  1,0.500000,0.500000,0.500000,1,merged
10006,1000049, 3,  2,  1,0.666667,0.333333,1.166667,1,merged
10013,1000049, 1,  2,  2,0.500000,0.500000,0.500000,1,merged
10013,1000063, 2,  1,  0,1.000000,0.000000,1.500000,-1,merged
10013,1000049, 3,  3,  2,0.600000,0.400000,2.100000,1,merged
10016,1000049, 1,  3,  3,0.500000,0.500000,0.500000,1,merged
10016,1000049, 2,  4,  3,0.571429,0.428571,1.071429,1,merged
10016,1000155, 3,  0,  1,0.000000,1.000000,1.071429,-1,merged
10025,1000049, 1,  4,  4,0.500000,0.500000,0.500000,1,merged
10025,1000027, 2,  1,  0,1.000000,0.000000,1.500000,-1,merged
10025,1000049, 3,  5,  4,0.555556,0.444444,2.055556,1,merged
10062,1000049, 1,  5,  5,0.500000,0.500000,0.500000,1,merged
10062,1000254, 2,  1,  0,1.000000,0.000000,1.500000,-1,merged
10062,1000049, 3,  6,  5,0.545455,0.454545,2.045455,1,merged
10064,1000049, 1,  7,  5,0.583333,0.416667,0.583333,1,merged
10064,1000120, 2,  1,  0,1.000000,0.000000,1.583333,1,merged
10064,1000049, 3,  8,  5,0.615385,0.384615,2.198718,1,merged
10070,1000049, 1,  9,  5,0.642857,0.357143,0.642857,1,merged
10070,1000113, 2,  1,  0,1.000000,0.000000,1.642857,1,merged
10070,1000175, 3,  1,  0,1.000000,0.000000,2.642857,1,merged
10097,1000049, 1,  9,  6,0.600000,0.400000,0.600000,1,merged
10097,1000049, 2,  9,  7,0.562500,0.437500,1.162500,1,merged
10097,1000049, 3, 10,  7,0.588235,0.411765,1.750735,1,merged
10105,1000049, 1, 10,  8,0.555556,0.444444,0.555556,1,merged
10105,1000049, 2, 10,  9,0.526316,0.473684,1.081871,1,merged
