ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,Status
  32,1000020, 1,  1,  0,1.000000,0.000000,merged
  32,1000020, 2,  1,  1,0.500000,0.500000,merged
  37,1000012, 1,  0,  1,0.000000,1.000000,merged
  37,1000003, 2,  1,  0,1.000000,0.000000,merged
  52,1000026, 1,  1,  0,1.000000,0.000000,merged
  52,1000049, 2,  1,  0,1.000000,0.000000,merged
  62,1000049, 1,  2,  0,1.000000,0.000000,merged
  62,1000049, 2,  3,  0,1.000000,0.000000,merged
  65,1000049, 1,  3,  1,0.750000,0.250000,abandoned
  65,1000049, 2,  3,  2,0.600000,0.400000,abandoned
  90,1000049, 1,  3,  3,0.500000,0.500000,abandoned
  90,1000018, 2,  1,  0,1.000000,0.000000,abandoned
  96,1000049, 1,  4,  3,0.571429,0.428571,merged
  96,1000049, 2,  4,  4,0.500000,0.500000,merged
  98,1000049, 1,  5,  4,0.555556,0.444444,merged
  98,1000009, 2,  1,  0,1.000000,0.000000,merged
 100,1000049, 1,  6,  4,0.600000,0.400000,merged
 100,1000049, 2,  7,  4,0.636364,0.363636,merged
 102,1000049, 1,  7,  5,0.583333,0.416667,merged
 102,1000049, 2,  8,  5,0.615385,0.384615,merged
 115,1000079, 1,  0,  1,0.000000,1.000000,merged
 115,1000092, 2,  0,  1,0.000000,1.000000,merged
 163,1000063, 1,  1,  0,1.000000,0.000000,merged
 163,1000049, 2,  9,  5,0.642857,0.357143,merged
 192,1000015, 1,  0,  1,0.000000,1.000000,merged
 192,1000015, 2,  1,  1,0.500000,0.500000,merged
 197,1000049, 1, 10,  5,0.666667,0.333333,merged
 197,1000079, 2,  1,  1,0.500000,0.500000,merged
 217,1000049, 1, 11,  5,0.687500,0.312500,merged
 217,1000049, 2, 12,  5,0.705882,0.294118,merged
 230,1000049, 1, 13,  5,0.722222,0.277778,merged
 230,1000049, 2, 14,  5,0.736842,0.263158,merged
 231,1000049, 1, 15,  5,0.750000,0.250000,merged
 231,1000049, 2, 16,  5,0.761905,0.238095,merged
 245,1000049, 1, 17,  5,0.772727,0.227273,merged
 245,1000049, 2, 18,  5,0.782609,0.217391,merged
 247,1000049, 1, 19,  5,0.791667,0.208333,merged
 247,1000049, 2, 20,  5,0.800000,0.200000,merged
 249,1000049, 1, 21,  5,0.807692,0.192308,merged
 249,1000049, 2, 22,  5,0.814815,0.185185,merged
 258,1000049, 1, 22,  6,0.785714,0.214286,merged
 258,1000049, 2, 23,  6,0.793103,0.206897,merged
 259,1000049, 1, 23,  7,0.766667,0.233333,merged
 259,1000049, 2, 24,  7,0.774194,0.225806,merged
 261,1000049, 1, 25,  7,0.781250,0.218750,merged
 261,1000019, 2,  1,  0,1.000000,0.000000,merged
 264,1000049, 1, 25,  8,0.757576,0.242424,merged
 264,1000049, 2, 26,  8,0.764706,0.235294,merged
 265,1000049, 1, 26,  9,0.742857,0.257143,merged
 265,1000049, 2, 27,  9,0.750000,0.250000,merged
 267,1000049, 1, 28,  9,0.756757,0.243243,merged
 267,1000015, 2,  2,  1,0.666667,0.333333,merged
 269,1000049, 1, 28, 10,0.736842,0.263158,merged
 269,1000049, 2, 29, 10,0.743590,0.256410,merged
